NAME,SECTOR
MANCHESTER INDUSTRIAL,CENTRE
EAST FAIRVIEW INDUSTRIAL,SOUTH
CANADA OLYMPIC PARK,WEST
FOOTHILLS,EAST
SHEPARD INDUSTRIAL,SOUTHEAST
FISH CREEK PARK,SOUTH
12B,SOUTHEAST
STONEY 4,NORTHEAST
STONEY 1,NORTH
NORTH AIRWAYS,NORTHEAST
STONEGATE LANDING,NORTHEAST
STONEY 2,NORTHEAST
STARFIELD,EAST
GREENVIEW INDUSTRIAL PARK,CENTRE
GLENMORE PARK,SOUTH
HAMPTONS,NORTHWEST
ROYAL VISTA,NORTHWEST
MERIDIAN,NORTHEAST
MAYLAND,NORTHEAST
13H,SOUTH
NOSE HILL PARK,NORTHWEST
02C,NORTH
10C,EAST
01C,WEST
01G,NORTHWEST
01H,WEST
10B,EAST
02B,NORTH
02L,NORTH
10A,EAST
12J,SOUTHEAST
13I,SOUTH
03H,NORTHEAST
14V,SOUTH
02A,NORTHWEST
03V,NORTHEAST
13G,SOUTH
13B,SOUTH
01B,NORTHWEST
12H,SOUTHEAST
09K,EAST
SADDLE RIDGE INDUSTRIAL,NORTHEAST
HIGHFIELD,CENTRE
FAIRVIEW INDUSTRIAL,SOUTH
OGDEN SHOPS,EAST
EAST SHEPARD INDUSTRIAL,SOUTHEAST
WESTWINDS,NORTHEAST
MCCALL,NORTHEAST
PEGASUS,NORTHEAST
SUNRIDGE,NORTHEAST
FRANKLIN,NORTHEAST
CITYSCAPE,NORTHEAST
CALGARY INTERNATIONAL AIRPORT,NORTHEAST
GOLDEN TRIANGLE,EAST
SKYLINE WEST,NORTH
HORIZON,NORTHEAST
02F,NORTHWEST
SKYLINE EAST,NORTHEAST
BURNS INDUSTRIAL,CENTRE
GLENDEER BUSINESS PARK,SOUTH
DEERFOOT BUSINESS CENTRE,NORTHEAST
AURORA BUSINESS PARK,NORTH
SOUTH AIRWAYS,NORTHEAST
STONEY 3,NORTHEAST
SECTION 23,SOUTHEAST
SOUTH FOOTHILLS,SOUTHEAST
MAPLE RIDGE,SOUTH
13F,SOUTH
FOREST LAWN INDUSTRIAL,EAST
ALYTH/BONNYBROOK,CENTRE
EASTFIELD,EAST
VALLEYFIELD,EAST
GREAT PLAINS,EAST
SIGNAL HILL,WEST
MIDNAPORE,SOUTH
COUNTRY HILLS VILLAGE,NORTH
FAIRVIEW,SOUTH
BEL-AIRE,CENTRE
PATTERSON,WEST
SOUTH CALGARY,CENTRE
01F,NORTHWEST
RIDEAU PARK,CENTRE
CRESTMONT,WEST
CAMBRIAN HEIGHTS,CENTRE
BRITANNIA,CENTRE
WEST HILLHURST,CENTRE
ROSSCARROCK,WEST
KILLARNEY/GLENGARRY,CENTRE
CANYON MEADOWS,SOUTH
AUBURN BAY,SOUTHEAST
CHAPARRAL,SOUTH
02K,NORTH
BRENTWOOD,NORTHWEST
SCARBORO,CENTRE
13C,SOUTH
03S,NORTHEAST
13E,SOUTH
06A,WEST
01I,WEST
13A,SOUTH
13D,SOUTH
12I,SOUTHEAST
MEDICINE HILL,WEST
05B,NORTHEAST
HIGHLAND PARK,CENTRE
BELTLINE,CENTRE
HUNTINGTON HILLS,NORTH
GREENVIEW,CENTRE
DOWNTOWN COMMERCIAL CORE,CENTRE
12A,SOUTHEAST
14U,SOUTH
01D,WEST
09D,CENTRE
02E,NORTHWEST
09N,SOUTHEAST
12F,SOUTHEAST
